"주택유형별","지역별","항목","단위","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월",
"종합","서북권","매매가격","","93.94347594","93.85324838","93.76721974","93.71627851","93.67582047","93.67055004","93.7374332","93.86673153","94.01829194","94.35939191","94.738331","95.19471637","95.48286865","95.68751831","95.89001844","95.90832221","95.87795045","95.9545366","96.49346194","96.88957654","97.19943623","97.39837064","97.58205252","97.85822964","98.16101334","98.59844825","98.88456297","99.14175715","99.46283131","100","100.4787136","101.0724281","101.6681501","102.4097277","103.0139198","103.2083757","103.1807869","103.0873812","103.0676683","103.0958725","103.1347695","103.1047403","102.9665671","102.6461167","102.1117606","101.4338858","100.3986071","98.22577105","97.01400697","96.3310862","95.86081605","95.54854965","95.32813438","95.28523394","95.4008777","95.59591515","95.84922821","96.00364738","96.07040004","96.00349759","95.93483707","95.84730034","95.86180176",
"종합","은평","매매가격","","94.73113468","94.72899773","94.61317891","94.5942094","94.57823472","94.57072275","94.59105612","94.65449099","94.75089774","94.94011098","95.17680776","95.54623881","95.80539009","95.94655146","96.12759069","96.13392772","96.12993671","96.154093","96.56831784","96.93710222","97.25117938","97.45658059","97.62248397","97.88901688","98.17415917","98.55964197","98.83794095","99.1201547","99.47450638","100","100.5371","101.2611242","101.9582599","102.7239897","103.3735126","103.5603381","103.509406","103.3692106","103.3517615","103.3875253","103.4275626","103.3705861","103.2199366","102.8854058","102.3648361","101.6463581","100.5399515","98.33502171","97.1449159","96.50369253","96.0858115","95.78096606","95.54647039","95.38233263","95.39104217","95.48336296","95.66233514","95.73788037","95.78764633","95.76809314","95.70598815","95.63149282","95.62413708",
"종합","서대문","매매가격","","94.83156742","94.78915698","94.7519616","94.68815317","94.63999354","94.63187012","94.71993486","94.86171801","94.99402581","95.25335505","95.64032808","96.01340321","96.2312381","96.44874948","96.6446514","96.68906481","96.67370022","96.73404481","97.19574041","97.60493548","97.92575317","98.08569052","98.23872439","98.43328788","98.68119946","98.98087931","99.20634589","99.41854746","99.62594601","100","100.380272","100.8057288","101.2059411","101.8046085","102.2720424","102.458598","102.439054","102.3460666","102.3190719","102.3457249","102.3977463","102.3803568","102.268798","101.9304066","101.3737672","100.656671","99.55668407","97.42297803","96.06734991","95.33499597","94.85348265","94.48736178","94.23114391","94.14016844","94.18657424","94.28494948","94.49902567","94.66316604","94.75121336","94.6835982","94.61744218","94.51634874","94.5050947",
"종합","마포","매매가격","","92.22050262","91.98229431","91.89395703","91.8137125","91.74910087","91.74890674","91.85647058","92.0574843","92.29312236","92.88969558","93.44022883","94.07344532","94.45555905","94.73018012","94.9652803","94.97746506","94.90138122","95.05775929","95.81847295","96.23870862","96.53420131","96.75682141","96.98830451","97.34377319","97.71420198","98.33163307","98.67784435","98.94012976","99.31256821","100","100.4859575","101.0525","101.6824106","102.5144562","103.1764428","103.3876202","103.3836299","103.3510251","103.3345934","103.3542409","103.3803992","103.3747784","103.230125","102.94348","102.4102012","101.819162","100.9328317","98.7685773","97.64951193","96.95404983","96.42529675","96.14873917","95.9767376","96.13190281","96.4455189","96.8569249","97.24108208","97.49080152","97.56172768","97.43321389","97.35363809","97.26034292","97.32628768",
"종합","강남권역","매매가격","","93.52627289","93.2553659","92.968122","92.74055984","92.61182046","92.56853765","92.64436393","92.7691722","92.9168386","93.39928436","93.96045554","95.12197814","95.48285029","95.54498905","95.58558813","95.47315289","95.3219935","95.45698673","96.13977472","96.50372377","96.72233944","96.83757061","96.96313316","97.1927777","97.63337833","98.09954519","98.47121539","98.81496608","99.21969751","100","100.5969527","101.2777681","102.0972018","102.8921178","103.5094946","103.8416703","103.9223084","103.8968943","103.9100678","103.9610437","104.0100322","104.0106037","103.9776903","103.8023355","103.3730206","102.5287897","101.2098971","99.55071887","98.39743905","97.53365066","97.02547999","96.72816996","96.7053251","96.84553131","97.04381161","97.3872741","97.74164123","98.03382032","98.13877536","98.06086783","97.9248434","97.84634394","97.85024609",
"종합","서남권","매매가격","","93.76316028","93.67559585","93.52711251","93.35809832","93.26949086","93.22119039","93.28000736","93.36950353","93.4890075","93.84563574","94.29480111","95.04314924","95.37168092","95.50638715","95.65693204","95.76828432","95.79642433","95.9500183","96.5766469","97.00179209","97.28022311","97.42646151","97.56639511","97.77021796","98.08006902","98.48329583","98.82242083","99.11024948","99.42606989","100","100.5081136","101.0812265","101.674448","102.2875756","102.7684454","103.0392826","103.1198318","103.1127787","103.1040141","103.1233344","103.1519443","103.142565","103.092071","102.9292895","102.5175129","101.7755083","100.5298889","98.91232572","97.62479938","96.64122512","95.97153599","95.54843784","95.28798842","95.16268107","95.24763876","95.43445747","95.68914419","95.97759635","96.09867317","96.01354469","95.9094401","95.81783419","95.79783086",
"종합","양천","매매가격","","93.32490522","93.10397672","92.75790342","92.37767913","92.23095087","92.14631845","92.26152413","92.33516047","92.42476282","92.8904053","93.44561926","94.854089","95.35828412","95.45721907","95.55374488","95.59951413","95.53406361","95.68945669","96.35900802","96.80366463","97.06728999","97.17594118","97.30023418","97.52259781","97.83142861","98.15637065","98.57440241","98.94751634","99.38052662","100","100.4809756","101.0152031","101.4870405","102.0060863","102.4834534","102.7908015","102.9075303","102.8874476","102.8875037","102.935482","102.9777872","102.96894","102.9484448","102.8138549","102.4725744","101.7301269","100.5213276","99.13132536","98.28593853","97.54377506","97.0399697","96.77811822","96.5758473","96.43027361","96.70253158","97.10339926","97.60536394","97.987761","98.21784649","98.19773998","98.11945088","98.06269015","98.07901672",
"종합","강서","매매가격","","94.96565986","94.87455867","94.73574985","94.54131159","94.40147664","94.27827911","94.26345031","94.3159712","94.41715374","94.74164401","95.11035759","95.67435073","95.89120766","95.98344763","96.08915101","96.17915002","96.14441131","96.21971844","96.86690506","97.28074967","97.5814261","97.71111863","97.85843854","98.07504322","98.36098313","98.69612016","99.00343343","99.2500862","99.50272542","100","100.5123193","101.1438617","101.8580422","102.433198","102.9121898","103.1847779","103.2577986","103.2507961","103.2305731","103.2113778","103.2017209","103.1381315","103.0159658","102.8114783","102.3048611","101.4697239","100.242512","98.59527146","96.95536429","95.7792649","94.89941471","94.27039793","93.81739169","93.5959996","93.60619116","93.71523195","93.8487496","94.13801883","94.29147985","94.19552833","94.01325721","93.84875298","93.82467393",
"종합","구로","매매가격","","93.57535615","93.54459845","93.51493137","93.43746821","93.41068468","93.42602879","93.44626152","93.52042103","93.6213531","93.8997488","94.27015897","94.77585855","95.06957782","95.31426975","95.55733725","95.77299085","95.9526467","96.22421056","97.02906954","97.46153485","97.76300416","97.90655843","98.03440473","98.20150155","98.42839816","98.74053559","99.04390051","99.29078454","99.54270263","100","100.4661212","100.9824297","101.5890436","102.2312642","102.7648768","103.094782","103.1785971","103.1700235","103.1640925","103.1679552","103.180311","103.1746743","103.0862041","102.8806069","102.4162508","101.6381885","100.4181604","99.02450336","97.63644722","96.65783804","96.02226521","95.40524602","95.06772599","94.95722961","94.99599634","95.08409434","95.273358","95.51690219","95.50371502","95.25122437","95.12311474","95.0332972","94.93337754",
"종합","금천","매매가격","","94.54770451","94.54998226","94.51051952","94.5143678","94.49952763","94.4873569","94.54737486","94.63576735","94.7631462","95.09376617","95.39798013","95.89850397","96.11051396","96.19647175","96.34850128","96.50957431","96.58925674","96.76420709","97.27229531","97.64182448","97.86905115","98.01517235","98.14152978","98.33845287","98.55136337","98.87661061","99.11208949","99.32770152","99.55336322","100","100.3539038","100.6843384","101.2183227","101.9242891","102.4619927","102.5745807","102.6065249","102.5940409","102.5677779","102.5892364","102.6117615","102.6081413","102.5305125","102.3436373","101.9375354","101.2255019","100.039433","98.54776222","97.18009199","95.87222411","94.83478853","94.12920121","93.75514748","93.53451444","93.54202969","93.68147096","93.92675023","94.15456194","94.2927873","94.23859157","94.15491448","94.05880961","94.01315809",
